Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
GPU,N750TI TF 2GD5/OC,MSI,MSI GTX 750 Ti 2GB Gaming,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,02G-P4-3751-KR,EVGA,EVGA GTX 750 Ti 2GB,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,02G-P4-3757-KR,EVGA,EVGA GTX 750 Ti 2GB FTW,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,GV-N75TOC2-2GI,Gigabyte,Gigabyte GTX 750 Ti 2GB OC 2,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,GV-N75TOC-1GI,Gigabyte,Gigabyte GTX 750 Ti 2GB,209,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,
GPU,,Nvidia,GTX 650 Ti Boost,210,17.1,15701,https://gpu.userbenchmark.com/Nvidia-GTX-650-Ti-Boost/Rating/2190,
GPU,,Intel,Iris Xe DG1,211,17,101,https://gpu.userbenchmark.com/SpeedTest/1499887/IntelR-IrisR-Xe-Graphics,
GPU,,AMD,RX Vega 8 5000 (iGPU),212,16.7,140621,https://gpu.userbenchmark.com/SpeedTest/1415260/AMD-RadeonTM-Graphics,
GPU,,AMD,HD 5970 (Crossfire Disabled),213,16.7,1620,https://gpu.userbenchmark.com/SpeedTest/7906/AMD-Radeon-HD-5900,
GPU,,Nvidia,GTX 960M,214,16.4,73363,https://gpu.userbenchmark.com/SpeedTest/27242/NVIDIA-GeForce-GTX-960M,
GPU,,Nvidia,GTX 560 Ti,215,16.3,42397,https://gpu.userbenchmark.com/Nvidia-GTX-560-Ti/Rating/2180,
GPU,,Nvidia,Quadro K2200,216,16.3,13860,https://gpu.userbenchmark.com/Nvidia-Quadro-K2200/Rating/2839,
GPU,,Nvidia,GeForce GTX 470,217,16.2,5537,https://gpu.userbenchmark.com/SpeedTest/7820/NVIDIA-GeForce-GTX-470,
GPU,,Nvidia,Quadro K5000M,218,16,355,https://gpu.userbenchmark.com/SpeedTest/11324/NVIDIA-Quadro-K5000M,
GPU,,Nvidia,GTX 770M,219,16,6357,https://gpu.userbenchmark.com/SpeedTest/7724/NVIDIA-GeForce-GTX-770M,
GPU,,Nvidia,GTX 675MX,220,15.8,591,https://gpu.userbenchmark.com/SpeedTest/10174/NVIDIA-GeForce-GTX-675MX,
GPU,,Nvidia,GTX 860M,221,15.6,18736,https://gpu.userbenchmark.com/SpeedTest/8647/NVIDIA-GeForce-GTX-860M,
GPU,,AMD,HD 6870,222,15.4,25443,https://gpu.userbenchmark.com/SpeedTest/7744/AMD-Radeon-HD-6800,
GPU,,Nvidia,GTX 560 Ti-OEM,223,15.2,864,https://gpu.userbenchmark.com/SpeedTest/9203/NVIDIA-GeForce-GTX-560-Ti,
GPU,,AMD,HD 5850,224,15.1,15020,https://gpu.userbenchmark.com/SpeedTest/7680/AMD-Radeon-HD-5800,
GPU,,Nvidia,Quadro 6000,225,14.8,1288,https://gpu.userbenchmark.com/SpeedTest/7657/NVIDIA-Quadro-6000,
GPU,,Nvidia,GTX 750,226,14.7,66662,https://gpu.userbenchmark.com/Nvidia-GTX-750/Rating/3162,
