Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
RAM,BLS2CP4G3D1609DS1S00CEU,Crucial,Ballistix Sport DDR3 1600 C9 2x4GB,91,56,44086,https://ram.userbenchmark.com/SpeedTest/50785/Crucial-BLS4G3D1609DS1S00-2x4GB,
RAM,HX316C10FK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,92,54,77652,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,
RAM,HX316C10FBK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,92,54,77652,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,
RAM,HX316C10FRK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,92,54,77652,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,
RAM,HX316C10FWK2/16,HyperX,Fury DDR3 1600 C10 2x8GB,92,54,77652,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB,
RAM,F3-12800CL9D-8GBXL,G.SKILL,RipjawsX DDR3 1600 C9 2x4GB,93,52.7,47852,https://ram.userbenchmark.com/SpeedTest/89321/GSKILL-F3-12800CL9-4GBXL-2x4GB,
RAM,HX316C10FK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,94,51.4,27462,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,
RAM,HX316C10FBK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,94,51.4,27462,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,
RAM,HX316C10FRK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,94,51.4,27462,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,
RAM,HX316C10FWK2/8,HyperX,Fury DDR3 1600 C10 2x4GB,94,51.4,27462,https://ram.userbenchmark.com/SpeedTest/42917/Kingston-KHX1600C10D38G-2x4GB,
RAM,F3-14900CL10D-16GBXL,G.SKILL,RipjawsX DDR3 1866 C10 2x8GB,95,51.3,9944,https://ram.userbenchmark.com/SpeedTest/89210/GSKILL-F3-14900CL10-8GBXL-2x8GB,
RAM,F3-12800CL10Q-32GBXL,G.SKILL,RipjawsX DDR3 1600 C10 4x8GB,96,51.2,4160,https://ram.userbenchmark.com/SpeedTest/90320/GSKILL-F3-12800CL10-8GBXL-4x8GB,
RAM,HX318C10FK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,97,51.2,38490,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,
RAM,HX318C10FBK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,97,51.2,38490,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,
RAM,HX318C10FRK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,97,51.2,38490,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,
RAM,HX318C10FWK2/8,HyperX,Fury DDR3 1866 C10 2x4GB,97,51.2,38490,https://ram.userbenchmark.com/HyperX-Fury-DDR3-1866-C10-2x4GB/Rating/3588,
RAM,HX316C9SRK2/8,HyperX,Savage DDR3 1600 C9 2x4GB,98,51.1,78181,https://ram.userbenchmark.com/SpeedTest/43139/Kingston-KHX1600C9D34GX-2x4GB,
RAM,CMX8GX3M2A1600C9,Corsair,XMS3 DDR3 1600 C9 2x4GB,99,49.6,11344,https://ram.userbenchmark.com/SpeedTest/89663/Corsair-XMS3-CMX8GX3M2A1600C9-2x4GB,
RAM,F3-12800CL10D-16GBXL,G.SKILL,RipjawsX DDR3 1600 C10 2x8GB,100,49,28220,https://ram.userbenchmark.com/SpeedTest/89329/GSKILL-F3-12800CL10-8GBXL-2x8GB,
RAM,CMZ8GX3M2A1600C9,Corsair,Vengeance DDR3 1600 C9 2x4GB,101,48.4,73650,https://ram.userbenchmark.com/SpeedTest/89203/Corsair-Vengeance-CMZ8GX3M2A1600C9-2x4GB,
RAM,BLS8G4D26BFSB,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,102,46.7,1416,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB,
RAM,BLS8G4D26BFSC,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,102,46.7,1416,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB,
RAM,BLS8G4D26BFSE,Crucial,Ballistix Sport LT DDR4 2666 C16 1x8GB,102,46.7,1416,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB,
RAM,BLS8G4D240FSB,Crucial,Ballistix Sport LT DDR4 2400 C16 1x8GB,103,43.1,20263,https://ram.userbenchmark.com/SpeedTest/142440/Crucial-BLS8G4D240FSB16FBD-1x8GB,
RAM,CT8G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x8GB,104,41.6,4182,https://ram.userbenchmark.com/SpeedTest/358525/Crucial-CT8G4DFD824AC16FHP-1x8GB,
RAM,CMK8GX4M1A2400C16,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,105,41.6,47473,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610,
RAM,CMK8GX4M1A2400C16R,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,105,41.6,47473,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610,
