Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,VTX4-25SAT3-128G,OCZ,Vertex 4 128GB,357,88.3,19372,https://ssd.userbenchmark.com/OCZ-Vertex-4-128GB/Rating/1895
SSD,SB1CSK31MT560-0240,OCZ,Saber 1000 240GB,358,88.1,92,https://ssd.userbenchmark.com/SpeedTest/36693/OCZ-SABER1000
SSD,CT250MX200SSD3,Crucial,MX200 mSATA 250GB,359,87.9,974,https://ssd.userbenchmark.com/SpeedTest/29438/Crucial--CT250MX200SSD3
SSD,CT512MX100SSD1,Crucial,MX100 512GB,360,87.6,31545,https://ssd.userbenchmark.com/Crucial-MX100-512GB/Rating/3475
SSD,PI240GS325SSDR,Patriot,Ignite 240GB,361,87.6,2261,https://ssd.userbenchmark.com/Patriot-Ignite-240GB/Rating/3573
SSD,SSD7CS2211-240-RB,PNY,CS2211 240GB,362,87.5,1866,https://ssd.userbenchmark.com/PNY-CS2211-240GB/Rating/3629
SSD,SSD7CS2211-240-PB,PNY,CS2211 240GB,362,87.5,1866,https://ssd.userbenchmark.com/PNY-CS2211-240GB/Rating/3629
SSD,PX-128M6Pro,Plextor,M6 Pro 128GB,363,87.5,708,https://ssd.userbenchmark.com/SpeedTest/14853/PLEXTOR-PX-128M6Pro
SSD,CT256M550SSD3,Crucial,M550 mSATA 256GB,364,87.4,658,https://ssd.userbenchmark.com/SpeedTest/8589/Crucial-CT256M550SSD3
SSD,VTX460-25SAT3-480G,OCZ,Vertex 460 480GB,365,87.4,390,https://ssd.userbenchmark.com/SpeedTest/11920/OCZ-VERTEX460
SSD,CT512M550SSD3,Crucial,M550 mSATA 512GB,366,87.3,441,https://ssd.userbenchmark.com/SpeedTest/8510/Crucial-CT512M550SSD3
SSD,SSDSC2BB800G4,Intel,S3500 Series 800GB,367,87.2,340,https://ssd.userbenchmark.com/SpeedTest/30895/INTEL-SSDSC2BB800G4
SSD,PX-256M6V,Plextor,M6V 256GB,368,87.2,435,https://ssd.userbenchmark.com/Plextor-M6V-256GB/Rating/3499
SSD,ARC100-25SAT3-240G,OCZ,ARC 100 240GB,369,87,11799,https://ssd.userbenchmark.com/OCZ-ARC-100-240GB/Rating/2603
SSD,ASP610SS3-512GM-C,Adata,Premier SP610 512GB,370,86.9,255,https://ssd.userbenchmark.com/SpeedTest/15096/ADATA-SP610
SSD,PX-512M6S,Plextor,M6S 512GB,371,86.9,93,https://ssd.userbenchmark.com/Plextor-M6S-512GB/Rating/3506
SSD,WDS100T1B0A,WD,Blue 1TB,372,86.9,6748,https://ssd.userbenchmark.com/SpeedTest/186717/WDC-WDS100T1B0A-00H9H0
SSD,,OCZ,AGILITY3 256GB,373,86.8,5,https://ssd.userbenchmark.com/SpeedTest/9551/OCZ-AGILITY3
SSD,CT500MX200SSD3,Crucial,MX200 mSATA 500GB,374,86.7,522,https://ssd.userbenchmark.com/SpeedTest/24060/Crucial-CT500MX200SSD3
SSD,CT250BX100SSD1,Crucial,BX100 250GB,375,86.6,42930,https://ssd.userbenchmark.com/Crucial-BX100-250GB/Rating/3145
SSD,TS1TSSD370,Transcend,SSD370 1TB,376,86.6,250,https://ssd.userbenchmark.com/Transcend-SSD370-1TB/Rating/3579
SSD,ASX930SS3-240GM-C,Adata,XPG SX930 240GB,377,86.5,1536,https://ssd.userbenchmark.com/Adata-XPG-SX930-240GB/Rating/3636
SSD,RADEON-R7SSD-120G,OCZ,AMD Radeon R7 120GB,378,86.5,1123,https://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-120GB/Rating/3492
SSD,CT120BX300SSD1,Crucial,BX300 120GB,379,86.5,7190,https://ssd.userbenchmark.com/Crucial-BX300-120GB/Rating/3945
SSD,VTX450-25SAT3-256G,OCZ,Vertex 450 256GB,380,86.4,409,https://ssd.userbenchmark.com/OCZ-Vertex-450-256GB/Rating/1605
SSD,2AP97AA#ABL,HP,S700 Pro 128GB,381,86.4,642,https://ssd.userbenchmark.com/SpeedTest/300937/HP-SSD-S700-Pro
SSD,THNSNJ256GCSU,Toshiba,HG6 256GB,382,86.4,4588,https://ssd.userbenchmark.com/SpeedTest/11911/TOSHIBA-THNSNJ256GCSU
SSD,WDS500G1B0A,WD,Blue 500GB,383,86.4,19345,https://ssd.userbenchmark.com/SpeedTest/192687/WDC-WDS500G1B0A-00H9H0
SSD,PI960GS25SSDR,Patriot,Ignite 960GB,384,86.4,185,https://ssd.userbenchmark.com/Patriot-Ignite-960GB/Rating/3575
SSD,SSD7CS1311-480-RB,PNY,CS1311 480GB,385,86.3,13149,https://ssd.userbenchmark.com/PNY-CS1311-480GB/Rating/3616
SSD,SDSSDHII-480G-G25,SanDisk,Ultra II 480GB,386,86.2,62883,https://ssd.userbenchmark.com/SanDisk-Ultra-II-480GB/Rating/3473
SSD,VTX460A-25SAT3-120G,OCZ,Vertex 460A 120GB,387,86.1,763,https://ssd.userbenchmark.com/OCZ-Vertex-460A-120GB/Rating/3490
SSD,ARC100-25SAT3-480G,OCZ,ARC 100 480GB,388,86.1,1835,https://ssd.userbenchmark.com/OCZ-ARC-100-480GB/Rating/3471
SSD,WDS250G2B0A,WD,Blue 3D 250GB,389,86,23658,https://ssd.userbenchmark.com/WD-Blue-3D-250GB/Rating/3948
SSD,VTR180-25SAT3-120G,Toshiba,OCZ VT180 120GB,390,85.8,38,https://ssd.userbenchmark.com/SpeedTest/172941/TOSHIBA-VT180
SSD,SKC400S37/512G,Kingston,SSDNow KC400 512GB,391,85.8,2804,https://ssd.userbenchmark.com/SpeedTest/72936/KINGSTON-SKC400S37512G
SSD,CT525MX300SSD1,Crucial,MX300 525GB,392,85.8,105037,https://ssd.userbenchmark.com/Crucial-MX300-525GB/Rating/3643
SSD,SHSS37A/120G,HyperX,Savage 120GB,393,85.6,7194,https://ssd.userbenchmark.com/HyperX-Savage-120GB/Rating/3496
SSD,VTR180-25SAT3-120G,OCZ,Vector 180 120GB,394,85.6,358,https://ssd.userbenchmark.com/OCZ-Vector-180-120GB/Rating/3495
