Rank,Name,Benchmark,Price,URL,Capacity
79,Seagate 600 240GB,82.5,-1,https://ssd.userbenchmark.com/Seagate-600-240GB/Rating/1601,240
80,Corsair Neutron GTX 240GB,81.0,-1,https://ssd.userbenchmark.com/Corsair-Neutron-GTX-240GB/Rating/1404,240
81,Adata Premier SP550 240GB,78.5,-1,https://ssd.userbenchmark.com/Adata-Premier-SP550-240GB/Rating/3623,240
82,OCZ Vertex 460 240GB,90.3,-1,https://ssd.userbenchmark.com/OCZ-Vertex-460-240GB/Rating/2043,240
83,Adata Premier Pro SP920 256GB,79.0,-1,https://ssd.userbenchmark.com/Adata-Premier-Pro-SP920-256GB/Rating/3454,256
84,Intel 730 Series 240GB,83.9,-1,https://ssd.userbenchmark.com/Intel-730-Series-240GB/Rating/2031,240
85,HyperX Savage 480GB,80.4,-1,https://ssd.userbenchmark.com/HyperX-Savage-480GB/Rating/3602,480
86,Adata Ultimate SU800 128GB,77.2,-1,https://ssd.userbenchmark.com/Adata-Ultimate-SU800-128GB/Rating/3911,128
87,Intel 535 Series 240GB $299,79.2,299,https://ssd.userbenchmark.com/Intel-535-Series-240GB/Rating/3500,240
88,Intel 520 Series 120GB $199,74.0,199,https://ssd.userbenchmark.com/Intel-520-Series-120GB/Rating/1935,120
89,Adata XPG SX900 256GB,76.6,-1,https://ssd.userbenchmark.com/Adata-XPG-SX900-256GB/Rating/1819,256
90,OCZ Vector 180 480GB,91.1,-1,https://ssd.userbenchmark.com/OCZ-Vector-180-480GB/Rating/3508,480
91,OCZ Vector 180 240GB,90.2,-1,https://ssd.userbenchmark.com/OCZ-Vector-180-240GB/Rating/3493,240
92,Sabrent Rocket 4 NVMe PCIe M.2 1TB $90,317.0,90,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB,1000
93,Samsung 840 Evo 250GB $142,95.9,142,https://ssd.userbenchmark.com/Samsung-840-Evo-250GB/Rating/1594,250
94,Kingston HyperX 3K 120GB $60,74.1,60,https://ssd.userbenchmark.com/Kingston-HyperX-3K-120GB/Rating/1894,120
95,Transcend SSD370 256GB,80.0,-1,https://ssd.userbenchmark.com/Transcend-SSD370-256GB/Rating/2701,256
96,Kingston SSDNow UV400 120GB $31,66.9,31,https://ssd.userbenchmark.com/SpeedTest/137022/KINGSTON-SUV400S37120G,120
97,Crucial MX300 750GB $210,89.1,210,https://ssd.userbenchmark.com/Crucial-MX300-750GB/Rating/3644,750
98,Crucial MX100 512GB,87.6,-1,https://ssd.userbenchmark.com/Crucial-MX100-512GB/Rating/3475,512
99,Samsung 960 Evo NVMe PCIe M.2 500GB $50,213.0,50,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB,500
100,Crucial BX200 240GB $150,76.1,150,https://ssd.userbenchmark.com/Crucial-BX200-240GB/Rating/3626,240
