Rank,Name,Benchmark,Price,URL
84,"AMD Ryzen TR 2950X $1,075",81.1,1075,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor

85,Intel Core i7-3930K $350,74.4,350,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487

86,AMD Ryzen 7 2700 $199,73.8,199,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957

87,AMD Ryzen TR 2990WX,78.9,-1,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor

88,Intel Core i3-9350KF,89.3,-1,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055

89,Intel Core i7-6700HQ,58.7,-1,https://cpu.userbenchmark.com/SpeedTest/34954/IntelR-CoreTM-i7-6700HQ-CPU---260GHz

90,AMD Ryzen TR 1950X,76.7,-1,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932

91,Intel Core i3-6100 $105,55.4,105,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511

92,Intel Core i7-4790 $185,71.4,185,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293

93,Intel Core i7-7820X $350,80.1,350,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928

94,AMD Ryzen TR 2920X,80.7,-1,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor

95,Intel Core i5-4590,63.5,117,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604

96,Intel Core i7-3770K,72.4,-1,https://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317

97,Intel Core i5-6600,67.6,-1,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514

98,Intel Core i5-4670K $149,68.0,149,https://cpu.userbenchmark.com/Intel-Core-i5-4670K/Rating/1538

99,Intel Core i7-6950X $311,86.8,311,https://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604

100,AMD Ryzen 3 1200 $115,57.0,115,https://cpu.userbenchmark.com/AMD-Ryzen-3-1200/Rating/3931

