Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Core i5-4570R,427,65.2,1007,https://cpu.userbenchmark.com/SpeedTest/6445/IntelR-CoreTM-i5-4570R-CPU---270GHz,
CPU,,AMD,Ryzen 5 2600H,428,65.2,231,https://cpu.userbenchmark.com/SpeedTest/617618/AMD-Ryzen-5-2600H-with-Radeon-Vega-Graphics,
CPU,,Intel,Core i5-4430,429,65.2,24837,https://cpu.userbenchmark.com/SpeedTest/1920/IntelR-CoreTM-i5-4430-CPU---300GHz,
CPU,,Intel,Core i5-3570,430,65.1,104858,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz,
CPU,FH8068403419422,Intel,Core i3-8109U,431,65,2079,https://cpu.userbenchmark.com/SpeedTest/609620/IntelR-CoreTM-i3-8109U-CPU---300GHz,
CPU,,Intel,Core i5-9300H,432,65,116682,https://cpu.userbenchmark.com/SpeedTest/744904/IntelR-CoreTM-i5-9300H-CPU---240GHz,
CPU,,Intel,Core i7-3720QM,433,64.8,9911,https://cpu.userbenchmark.com/SpeedTest/1619/IntelR-CoreTM-i7-3720QM-CPU---260GHz,
CPU,,Intel,Core i5-2310,434,64.8,15623,https://cpu.userbenchmark.com/SpeedTest/2055/IntelR-CoreTM-i5-2310-CPU---290GHz,
CPU,CL8068403373522,Intel,Core i5-8300H,435,64.7,167898,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz,
CPU,BX80646I34360,Intel,Core i3-4360,436,64.7,1789,https://cpu.userbenchmark.com/Intel-Core-i3-4360/Rating/2819,
CPU,,Intel,Core i7-2960XM,437,64.6,863,https://cpu.userbenchmark.com/SpeedTest/2390/IntelR-CoreTM-i7-2960XM-CPU---270GHz,
CPU,,Intel,Xeon W3530,438,64.6,5773,https://cpu.userbenchmark.com/SpeedTest/3000/IntelR-XeonR-CPU-----------W3530----280GHz,
CPU,BX80646I34340,Intel,Core i3-4340,439,64.5,866,https://cpu.userbenchmark.com/Intel-Core-i3-4340/Rating/2877,
CPU,,Intel,Core i7-3740QM,440,64.4,14369,https://cpu.userbenchmark.com/SpeedTest/2919/IntelR-CoreTM-i7-3740QM-CPU---270GHz,
CPU,,Intel,Core i7-1160G7,441,64.4,287,https://cpu.userbenchmark.com/SpeedTest/1300243/11th-Gen-IntelR-CoreTM-i7-1160G7---120GHz,
