Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,A6-7310 APU (2015 M.Ca),1211,32.5,12494,https://cpu.userbenchmark.com/SpeedTest/42196/AMD-A6-7310-APU-with-AMD-Radeon-R4-Graphics
CPU,,Intel,Core2 Duo U9400,1212,32.4,547,https://cpu.userbenchmark.com/SpeedTest/12007/IntelR-CoreTM2-Duo-CPU-----U9400----140GHz
CPU,,Intel,Atom Z3775,1213,32.3,931,https://cpu.userbenchmark.com/SpeedTest/12464/IntelR-AtomTM-CPU--Z3775----146GHz
CPU,,Intel,Pentium N3510,1214,32.3,406,https://cpu.userbenchmark.com/SpeedTest/11120/IntelR-PentiumR-CPU--N3510----199GHz
CPU,,AMD,Athlon 64 X2 Dual Core 3600+,1215,32.3,784,https://cpu.userbenchmark.com/SpeedTest/5235/AMD-Athlontm-64-X2-Dual-Core-Processor-3600-
CPU,,Intel,Core2 T7200,1216,32.2,2351,https://cpu.userbenchmark.com/SpeedTest/248/IntelR-CoreTM2-CPU---------T7200----200GHz
CPU,,Intel,T2500,1217,32.2,407,https://cpu.userbenchmark.com/SpeedTest/1958/Genuine-IntelR-CPU-----------T2500----200GHz
CPU,,AMD,A8-7100 APU (2014 M.Ka),1218,32.1,1069,https://cpu.userbenchmark.com/SpeedTest/20429/AMD-A8-7100-Radeon-R5-8-Compute-Cores-4C-4G
CPU,,Intel,Core2 Duo T5850,1219,32.1,471,https://cpu.userbenchmark.com/SpeedTest/6522/IntelR-CoreTM2-Duo-CPU-----T5850----216GHz
CPU,,Intel,Pentium 4 3.80GHz,1220,32.1,121,https://cpu.userbenchmark.com/SpeedTest/11003/--------------IntelR-PentiumR-4-CPU-380GHz
CPU,,AMD,A6-4455M APU,1221,32.1,1612,https://cpu.userbenchmark.com/SpeedTest/5941/AMD-A6-4455M-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Turion 64 Mobile Technology ML-32,1222,32.1,22,https://cpu.userbenchmark.com/SpeedTest/10530/AMD-Turiontm-64-Mobile-Technology-ML-32
CPU,,Intel,Pentium D 3.40GHz,1223,32.1,3806,https://cpu.userbenchmark.com/SpeedTest/5820/IntelR-PentiumR-D-CPU-340GHz
CPU,,AMD,Athlon 64 4000+,1224,32.1,62,https://cpu.userbenchmark.com/SpeedTest/10241/AMD-Athlontm-64-Processor-4000-
CPU,,Intel,Pentium Dual E2160,1225,32.1,4697,https://cpu.userbenchmark.com/SpeedTest/2113/IntelR-PentiumR-Dual--CPU--E2160----180GHz
CPU,,Intel,T2400,1226,31.9,746,https://cpu.userbenchmark.com/SpeedTest/6584/Genuine-IntelR-CPU-----------T2400----183GHz
CPU,,Intel,T2600,1227,31.9,150,https://cpu.userbenchmark.com/SpeedTest/4124/Genuine-IntelR-CPU-----------T2600----216GHz
CPU,,Intel,Pentium Dual T3200,1228,31.9,2188,https://cpu.userbenchmark.com/SpeedTest/2235/IntelR-PentiumR-Dual--CPU--T3200----200GHz
CPU,,AMD,A8-6410 APU R5 Graphics,1229,31.8,19683,https://cpu.userbenchmark.com/SpeedTest/12263/AMD-A8-6410-APU-with-AMD-Radeon-R5-Graphics
